F8131:/data/local/tmp # ./mixbench-ocl-ro                                                                                                                                                                  
mixbench-ocl/read-only (v0.03-8-gbab3fb7)
Use "-h" argument to see available options
------------------------ Device specifications ------------------------
Platform:            QUALCOMM Snapdragon(TM)
Device:              QUALCOMM Adreno(TM)/QUALCOMM
Driver version:      OpenCL 2.0 QUALCOMM build: commit #8aaecb6 changeid #Ib515ec08c2 Date: 10/19/17 Thu Local Branch:  Remote Branch: refs/tags/AU_LINUX_ANDROID_LA.UM.6.5.R1.08.00.00.312.030 Compiler E031.35.00.00
Address bits:        64
GPU clock rate:      1 MHz
Total global mem:    1378 MB
Max allowed buffer:  344 MB
OpenCL version:      OpenCL 2.0 Adreno(TM) 530
Total CUs:           4
-----------------------------------------------------------------------
Buffer size:            256MB
Workgroup size:         256
Elements per workitem:  8
Workitem fusion degree: 4
Workitem stride:        NDRange
Buffer allocation:      Device allocated
Timer:                  CL event based
Warning:                Double precision computations are not supported
Loading kernel source file...
Precompilation of kernels... [>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>]
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    8.08,    4.15,  16.61,      0.125,    0.00,     inf,    inf,      0.500,    8.41,    7.98,  15.96,     0.250,    8.24,    4.07,  16.29
            1,      0.750,    8.25,   12.21,  16.27,      0.375,    0.00,     inf,    inf,      1.500,    8.56,   23.51,  15.67,     0.750,    8.69,   11.58,  15.44
            2,      1.250,    8.25,   20.33,  16.26,      0.625,    0.00,     inf,    inf,      2.500,    8.67,   38.68,  15.47,     1.250,    9.12,   18.40,  14.72
            3,      1.750,    8.31,   28.25,  16.15,      0.875,    0.00,     inf,    inf,      3.500,    8.84,   53.12,  15.18,     1.750,    9.17,   25.61,  14.64
            4,      2.250,    8.40,   35.96,  15.98,      1.125,    0.00,     inf,    inf,      4.500,   23.76,   25.43,   5.65,     2.250,    9.20,   32.84,  14.60
            5,      2.750,    8.45,   43.68,  15.88,      1.375,    0.00,     inf,    inf,      5.500,   26.88,   27.46,   4.99,     2.750,    9.33,   39.55,  14.38
            6,      3.250,    8.58,   50.83,  15.64,      1.625,    0.00,     inf,    inf,      6.500,   30.74,   28.38,   4.37,     3.250,    9.77,   44.63,  13.73
            7,      3.750,    8.67,   58.05,  15.48,      1.875,    0.00,     inf,    inf,      7.500,   34.54,   29.14,   3.89,     3.750,   10.42,   48.29,  12.88
            8,      4.250,    8.62,   66.18,  15.57,      2.125,    0.00,     inf,    inf,      8.500,   38.58,   29.57,   3.48,     4.250,   11.20,   50.92,  11.98
